"X1","X2"
"Marracash","Club Dogo"
"Marracash","Club Dogo"
"Luchè","Sick Luke"
"Luchè","Paky"
"Luchè","Paky"
"Luchè","Night Skinny"
"Luchè","Night Skinny"
"Luchè","Sottotono"
"Luchè","Noyz Narcos"
"Luchè","Sick Luke"
"Luchè","DAILY FAT BASS"
"Luchè","Rocco Hunt"
"Luchè","Sottotono"
"Luchè","Sottotono"
"Luchè","Il Profeta"
"Luchè","Ernia"
"Luchè","Guè"
"Luchè","DrefGold"
"Luchè","Ernia"
"Luchè","O'Iank"
"Luchè","Elisabetta Serio"
"Luchè","Guè"
"Luchè","CoCo"
"Luchè","Vale Lambo"
"Luchè","Geolier"
"Luchè","Geolier"
"Luchè","Guè"
"Luchè","Ernia"
"Luchè","DrefGold"
"Luchè","Marracash"
"Luchè","Ivan Granatino"
"Luchè","Marracash"
"Luchè","Gigi D'Alessio"
"Luchè","Geolier"
"Luchè","Mecna"
"Luchè","Lazza"
"Luchè","Night Skinny"
"Luchè","Lele Blade"
"Luchè","Side Baby"
"Luchè","CoCo"
"Luchè","Dark Polo Gang"
"Luchè","Side Baby"
"Luchè","M¥SS KETA"
"Luchè","Lazza"
"Luchè","Carl Brave"
"Luchè","Guè"
"Luchè","Noyz Narcos"
"Luchè","Night Skinny"
"Luchè","The RRR Mob"
"Luchè","The RRR Mob"
"Luchè","Guè"
"Luchè","Ensi"
"Luchè","Ensi"
"Luchè","Guè"
"Luchè","Fuossera"
"Luchè","Rischio"
"Luchè","Marracash"
"Luchè","Marracash"
"Luchè","CoCo"
"Luchè","Rocco Hunt"
"Luchè","Marracash"
"Luchè","Marracash"
"Luchè","Livio Cori"
"Luchè","Sfera Ebbasta"
"Luchè","Rocco Hunt"
"Luchè","MadMan"
"Luchè","Emis Killa"
"Luchè","Clementino"
"Luchè","Marracash"
"Luchè","Nelson"
"Luchè","Night Skinny"
"Luchè","Montenero"
"Luchè","Fred De Palma"
"Luchè","Deleterio"
"Luchè","lowlow"
"Luchè","Franco Ricciardi"
"Luchè","Don Joe"
"Luchè","Don Joe"
"Luchè","Exo Dj"
"Salmo","Rose Villain"
"Salmo","Ernia"
"Salmo","Deda"
"Salmo","Night Skinny"
"Salmo","thasup"
"Salmo","Night Skinny"
"Salmo","Takagi & Ketra"
"Salmo","Coez"
"Salmo","Fabri Fibra"
"Salmo","DJ TREEPLO"
"Salmo","Guè"
"Salmo","Fedez"
"Salmo","MACE"
"Salmo","Guè"
"Salmo","Massimo Pericolo"
"Salmo","Emis Killa"
"Salmo","MACE"
"Salmo","Ghali"
"Salmo","Vegas Jones"
"Salmo","BLOODY VINYL"
"Salmo","Emis Killa"
"Salmo","Dark Polo Gang"
"Salmo","thasup"
"Salmo","Dani Faiv"
"Salmo","Dani Faiv"
"Salmo","Dani Faiv"
"Salmo","thasup"
"Salmo","Linea 77"
"Salmo","Gemitaiz"
"Salmo","MACHETE"
"Salmo","Linea 77"
"Salmo","Noyz Narcos"
"Salmo","Nitro"
"Salmo","Nerone"
"Salmo","Nerone"
"Salmo","Lazza"
"Salmo","Lazza"
"Salmo","Axos"
"Salmo","Jack The Smoker"
"Salmo","Clementino"
"Salmo","Marracash"
"Salmo","Marracash"
"Salmo","Fabri Fibra"
"Salmo","Noyz Narcos & Fritz Da Cat"
"Salmo","Clementino"
"Salmo","Fabri Fibra"
"Salmo","BLOODY VINYL"
"Salmo","Marracash"
"Salmo","Night Skinny"
"Salmo","Ensi"
"Salmo","Tormento"
"Salmo","Emis Killa"
"Salmo","Gemitaiz"
"Salmo","Jake La Furia"
"Salmo","Fritz Da Cat"
"Salmo","Ensi"
"Salmo","Raige"
"Salmo","Bassi Maestro"
"Salmo","'n Drew"
"Coez","TY1"
"Coez","Sick Luke"
"Coez","Louis Dee"
"Coez","Night Skinny"
"Coez","thasup"
