"X1","X2"
"Lazza","Geolier"
"Lazza","Shiva"
"Lazza","Irama"
"Lazza","Rondodasosa"
"Lazza","Cancun"
"Lazza","Night Skinny"
"Lazza","thasup"
"Lazza","Night Skinny"
"Lazza","Irama"
"Lazza","Jake La Furia"
"Lazza","ANNA"
"Lazza","Salmo"
"Lazza","Lele Blade"
"Lazza","Fred De Palma"
"Lazza","Fabri Fibra"
"Lazza","Irama"
"Lazza","Tony Effe"
"Lazza","Tony Effe"
"Lazza","Tony Effe"
"Lazza","Emis Killa"
"Lazza","Tony Effe"
"Lazza","Ernia"
"Lazza","Guè"
"Lazza","Guè"
"Lazza","DrefGold"
"Lazza","Emis Killa"
"Lazza","Nitro"
"Lazza","Ernia"
"Lazza","Guè"
"Lazza","BLOODY VINYL"
"Lazza","Emis Killa"
"Lazza","Dark Polo Gang"
"Lazza","Geolier"
"Lazza","thasup"
"Lazza","Jack The Smoker"
"Lazza","Guè"
"Lazza","Real Talk"
"Lazza","Ernia"
"Lazza","Tedua"
"Lazza","Tedua"
"Lazza","Dani Faiv"
"Lazza","DrefGold"
"Lazza","Elodie"
"Lazza","Dani Faiv"
"Lazza","Giaime"
"Lazza","Marracash"
"Lazza","Nitro"
"Lazza","Nitro"
"Lazza","Giaime"
"Lazza","Salmo"
"Lazza","thasup"
"Lazza","Marracash"
"Lazza","Ensi"
"Lazza","Night Skinny"
"Lazza","Real Talk"
"Lazza","MACHETE"
"Lazza","Guè"
"Lazza","Beba"
"Lazza","Ernia"
"Lazza","Dani Faiv"
"Lazza","Dani Faiv"
"Lazza","Low Kidd"
"Lazza","Nitro"
"Lazza","Night Skinny"
"Lazza","Bassi Maestro"
"Lazza","Bassi Maestro"
"Lazza","Nerone"
"Lazza","Axos"
"Lazza","DJ Fede"
"Lazza","DJ Fede"
"Geolier","Rose Villain"
"Geolier","TY1"
"Geolier","Sick Luke"
"Geolier","Shiva"
"Geolier","Ernia"
"Geolier","Paky"
"Geolier","Paky"
"Geolier","Night Skinny"
"Geolier","Night Skinny"
"Geolier","SLF"
"Geolier","Lele Blade"
"Geolier","Clementino"
"Geolier","Lazza"
"Geolier","Lazza"
"Geolier","Luchè"
"Geolier","SLF"
"Geolier","SLF"
"Geolier","Noyz Narcos"
"Geolier","Sick Luke"
"Geolier","Guè"
"Geolier","Tony Effe"
"Geolier","SLF"
"Geolier","Rocco Hunt"
"Geolier","Tony Effe"
"Geolier","Sfera Ebbasta"
"Geolier","Gigi D'Alessio"
"Geolier","MACE"
"Geolier","Anna Tatangelo"
"Geolier","TY1"
"Geolier","Emis Killa"
"Geolier","Sfera Ebbasta"
"Geolier","MACE"
"Geolier","Gianni Bismark"
"Geolier","MV Killa"
"Geolier","Peppe Soks"
"Geolier","Guè"
"Geolier","Gemitaiz"
"Geolier","CoCo"
"Geolier","Samurai Jay"
"Geolier","Gianni Bismark"
"Geolier","Gianni Bismark"
"Geolier","Vale Lambo"
"Geolier","Gianni Bismark"
"Geolier","Dark Polo Gang"
"Geolier","Gigi D'Alessio"
"Geolier","Lazza"
"Geolier","Guè"
"Geolier","Gianni Bismark"
"Geolier","Gianni Bismark"
"Geolier","Dat Boi Dee"
"Geolier","Samurai Jay"
"Geolier","Night Skinny"
"Geolier","Rocco Hunt"
"Geolier","Rocco Hunt"
"Geolier","MV Killa"
"Geolier","Emis Killa"
"Geolier","Christian Revo"
"Geolier","MadMan"
"Geolier","Lele Blade"
"Marracash","Guè"
"Marracash","TY1"
"Marracash","Emis Killa"
"Marracash","Elisa"
"Marracash","Paky"
"Marracash","Paky"
"Marracash","Ghali"
"Marracash","Gemitaiz"
"Marracash","Luchè"
"Marracash","Sottotono"
"Marracash","Fabri Fibra"
"Marracash","Guè"
